REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2010,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,New York Power Authority (100%),82960,"C,D"
2010,29-6 #2 Central Delivery Point,1006394,,36.7452,-107.4455,Blanco,Rio Arriba,NM,87412,Williams Partners L.P. (100%),25177,C (Abbr)
2010,30-5 Central Delivery Point Compressor Station,1002885,,36.8118,-107.4036,Aztec,Rio Arriba,NM,87410,Williams Partners L.P. (100%),38883,C (Abbr)
2010,31-6 Central Delivery Point,1002707,,36.8363,-107.4199,BLOOMFIELD,Rio Arriba,NM,87413,Williams Partners L.P. (100%),63884,C (Abbr)
2010,31st Street Landfill,1003742,11700 W 31ST ST,41.83491,-87.91633,WESTCHESTER,DUPAGE,IL,60154,Archdiocese of Chicago (100%),12869,HH
2010,32-7 Central Delivery Point,1002718,,36.9313,-107.5604,BLANCO,SAN JUAN,NM,87412,Williams Partners L.P. (100%),56479,C (Abbr)
2010,32-8 #2 CDP COMPRESSOR STATION,1002721,,36.9569,-107.6631,BLANCO,SAN JUAN,NM,87412,Williams Partners L.P. (100%),55075,C (Abbr)
2010,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M Center (100%); 3M Company (100%),36879,"C,N"
2010,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M Company (100%),75803,C
2010,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96672,-87.899855,GUIN,MARION,AL,35563,3M COMPANY (100%),28750,"C,N"
2010,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON,WI,54401,3M Company (100%),26049,C
2010,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN,AL,35609,3M Center (100%),50947,"C,OO"
2010,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND,IL,61242,3M (100%),28988,"C,OO"
2010,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON,MN,55016,3M Company (100%),44523,"C,N,OO"
2010,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.708919,-92.239492,LITTLE ROCK,PULASKI,AR,72216,3M Company (100%),28192,C
2010,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M Company (100%),40697,C
2010,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.83442,-94.330397,NEVADA,VERNON,MO,64772,3M Company (100%),29571,C
2010,48th Street Peaking Station,1001106,491 E 48TH ST,42.7553,-86.0853,HOLLAND,Allegan,MI,49423,Holland Board of Public Works (100%),20080,"C,D"
2010,58TH ST LF (MAIN COUNTY LF),1004680,8831 NW 58TH ST,25.82621,-80.340819,MIAMI,MIAMI-DADE COUNTY,FL,33178,Miami-Dade County Department of Solid Waste (100%),112946,HH
2010,59th Street,1000766,850 12TH AVE,40.7711,-73.9911,NEW YORK,New York,NY,10019,"Consolidated Edison, Inc. (100%)",271674,C
2010,69TH ST WWTP,1007733,2525 SSGT MACARIO GARCIA DR,29.75579,-95.29791,HOUSTON,HARRIS COUNTY,TX,77020,City of Houston (100%),27214,C (Abbr)
2010,74th Street,1000767,506 E 75TH ST,40.768,-73.9515,NEW YORK,New York,NY,10021,"Consolidated Edison, Inc. (100%)",387617,C
2010,A B Brown Generating Station,1001033,8511 WELBORN ROAD,37.9053,-87.715,MOUNT VERNON,Posey,IN,47620,Vectren (100%),2188497,D
2010,AAP ST MARYS CORP,1005445,1100 MCKINLEY RD.,40.55359,-84.3723,SAINT MARYS,AUGLAIZE COUNTY,OH,45885,Hitachi Metals America (100%),27551,C (Abbr)
2010,ABBOTT NUTRITION,1002853,901 NORTH CENTERVILLE ROAD,41.8095,-85.426,STURGIS,ST. JOSEPH COUNTY,MI,49091,Abbott Labortories (100%),27764,C
2010,ABBOTT PARK FACILITY,1002983,100 ABBOTT PARK RD,42.30227,-87.89065,ABBOTT PARK,LAKE,IL,60064,Abbott Laboratories (100%),105473,C (Abbr)
2010,ABBVIE LTD.,1007514,RD 2 KM 58.0,18.433237,-66.570509,BARCELONETA,BARCELONETA,PR,617,Abbott Hospitals (100%),117315,C
2010,ABC COKE,1004511,ONE RAILROAD AVENUE,33.580769,-86.781281,TARRANT,JEFFERSON,AL,35217,Drummond Co Inc (100%),208846,"C,Q"
2010,"ABE South Dakota, LLC - Aberdeen",1002047,38469 133rd Street,45.459444,-98.5325,Aberdeen,BROWN COUNTY,SD,57401,Advanced BioEnergy (100%),79648,C
2010,"ABE South Dakota, LLC - Huron",1002074,694 W PARK AVE NW,44.374508,-98.253288,HURON,BEADLE,SD,57350,Advanced BioEnergy (100%),4569,C
2010,ABERDEEN ENERGY LLC,1005353,13435 370TH AVENUE,45.442417,-98.787139,MINA,EDMUNDS,SD,57451,Glacial Lakes Corn Processors (100%),155380,C
2010,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,1006971,4304 Susquehanna Ave,39.3954,-76.30773,APG,HARFORD COUNTY,MD,21005,U.S. Government (100%),54667,C (Abbr)
2010,ABRAHAM COMPRESSOR STATION,1003091,9835 US HWY 60,35.757778,-100.486433,CANADIAN,HEMPHILL,TX,79014,"Enbridge Energy Partners, L.P. (100%)",29517,C (Abbr)
2010,ABSOLUTE ENERGY LLC,1002627,1372 STATELINE ROAD,43.49951,-92.91709,ST ANSGAR (MONA),MITCHELL COUNTY,IA,50472,"Absolute Energy, L.L.C. (100%)",166628,C
2010,AC 857 A,1002685,,26.29555555,-94.89777777,Offshore,,TX,0,Shell Petroleum Inc. (100%),54025,C
2010,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,1006529,611 PETAL RD,30.256038,-92.532637,EGAN,ACADIA PARISH,LA,70531,Acadia Parish Police Jury (100%),46724,HH
2010,ACE Cogeneration Company,1004830,12801 Mariposa Street,35.7655,-117.3821,Trona,SAN BERNARDINO,CA,93562,Trona Operating Partners (100%),783184,C
2010,ACE ETHANOL LLC,1004761,815 WEST MAPLE STREET,44.9589,-90.9608,STANLEY,CHIPPEWA,WI,54768,"ACE Ethanol, LLC (100%)",71980,"C,PP"
2010,ACME BRICK CO ELGIN PLANT,1005601,1776 OLD MCDADE RD,30.32903,-97.29207,ELGIN,BASTROP COUNTY,TX,78621,,27547,C
2010,ACME GYPSUM FACILITY,1005046,4164 HIGHWAY 285,34.323944,-99.818194,QUANAH,HARDEMAN COUNTY,TX,79252,"Koch Industries, Inc. (100%)",28163,C
2010,ADA COGENERATION,1002731,7575 FULTON STREET EAST,42.955455,-85.479053,ADA,KENT,MI,49355,"Olympus Power, LLC (100%)",110926,C
2010,ADKINS ENERGY LLC,1003422,4350 WEST GALENA ROAD,42.3586,-89.80342,LENA,STEPHENSON COUNTY,IL,61048,Adkins Energy LLC (100%),67146,C (Abbr)
2010,ADM - MANKATO,1002154,2019 3RD AVENUE,44.186805,-93.995493,MANKATO,BLUE EARTH COUNTY,MN,56001,Archer Daniels Midland Co. (100%),132818,C
2010,ADM CORN PROCESSING,1001867,12868 COUNTY ROAD 9,48.910797,-97.888743,WALHALLA,PEMBINA COUNTY,ND,58282,Archer Daniels Midland Company (100%),85647,C (Abbr)
2010,ADM CORN PROCESSING,1006047,1350 WACONIA AVENUE SOUTHWEST,41.928594,-91.687203,CEDAR RAPIDS,LINN,IA,52404,Archer Daniels Midland Company (100%),3078133,"C (Abbr),PP"
2010,ADM CORN PROCESSING,1006208,1251 BEAVER CHANNEL PARKWAY,41.818117,-90.214731,CLINTON,CLINTON,IA,52732,Archer Daniels Midland  (100%),1510151,C (Abbr)
2010,ADM MILLING COMPANY,1000034,1935 EAST EUCLID AVENUE,41.626329,-93.583205,DES MOINES,POLK,IA,50313,Archer Daniels Midland Company (100%),141765,C (Abbr)
2010,ADM QUINCY,1000376,2100 GARDNER EXPRESSWAY,39.90565,-91.41015,QUINCY,ADAMS,IL,62306,Archer Daniels Midland (100%),186739,C (Abbr)
2010,ADM SOUTHERN CELLULOSE PROD.IN,1006080,103 W 45TH ST,34.997921,-85.318581,CHATTANOOGA,HAMILTON COUNTY,TN,37410,Archer Daniels Midland Company (100%),28792,C (Abbr)
2010,ADRIAN LANDFILL,1001991,1970 N OGDEN HWY,41.890683,-83.992445,ADRIAN,LENAWEE,MI,49221,"Republic Services, Inc. (100%)",75991,"C,HH"
2010,ADS-CEDAR HILL LANDFILL,1001633,1319 NO BUSINESS CREEK ROAD,33.676247,-86.25444,RAGLAND,ST. CLAIR COUNTY,AL,35131,Advanced Disposal (100%),97335,HH
2010,ADS-PECAN ROW-EVERGREEN LANDFILLS,1001636,2995 WETHERINGTON LANE,30.81425,-83.35981,VALDOSTA,LOWNDES COUNTY,GA,31601,"Veolia Environnement North America Operations, Inc. (100%)",309108,HH
2010,ADS-STAR RIDGE LANDFILL,1006790,3301 ACMAR ROAD,33.605845,-86.5201,MOODY,SAINT CLAIR,AL,35004,Advanced Disposal (100%),63018,HH
2010,ADS/MCLEAN COUNTY LANDFILL,1002094,2105 W OAKLAND AVE,40.47046,-89.0377,BLOOMINGTON,MCLEAN,IL,61704,"Republic Services, Inc. (100%)",17136,"C,HH"
2010,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,1001845,2510 ENGEL ROAD,44.4093,-89.854855,WISCONSIN RAPIDS,WOOD,WI,54495,ADVANCED DISPOSAL SERVICES (100%),25778,"C,HH"
2010,ADVANCED DISPOSAL EMERALD PARK LANDFILL LLC,1007212,W124 S10629 SOUTH 124TH STREET,42.849682,-88.07639,MUSKEGO,WAUKESHA,WI,53132,ADVANCED DISPOSAL SERVICES (100%),61854,"C,HH"
2010,ADVANCED DISPOSAL GLACIER RIDGE LANDFILL LLC,1007195,N7296 HWY V,43.45953,-88.55413,HORICON,DODGE COUNTY,WI,53032,ADS WASTE HOLDINGS INC (100%),43495,"C,HH"
2010,"ADVANCED DISPOSAL HICKORY MEADOWS LANDFILL, LLC",1001847,W3105 SCHNEIDER RD,44.107451,-88.194894,HILBERT,CALUMET,WI,54129,ADVANCED DISPOSAL SERVICES (100%),53864,"C,HH"
2010,"ADVANCED DISPOSAL MALLARD RIDGE LANDFILL, INC",1002038,W8470 STATE RD 11,42.643578,-88.717968,DELEVAN,WALWORTH,WI,53115,Advanced Disposal (100%),76381,"C,HH"
2010,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",1003038,31226 INTREPID ROAD,39.7318,-92.53866,MACON,MACON COUNTY,MO,63552,Advanced Disposal (100%),95655,"C,HH"
2010,ADVANCED DISPOSAL OAK RIDGE LANDFILL,1006979,1741 SULPHUR SPRING ROAD,38.549361,-90.530806,BALWIN,ST. LOUIS COUNTY,MO,63021,ADVANCED DISPOSAL SERVICES (100%),29895,HH
2010,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,1001637,8290 HIGHWAY 251,42.14,-89.085,DAVIS JUNCTION,OGLE,IL,61020,Advanced Disposal (100%),186318,"C,HH"
2010,ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,1001843,175 COUNTY ROAD 37 NE,45.24949,-93.87488,BUFFALO,WRIGHT COUNTY,MN,55313,ADVANCED DISPOSAL SERVICES (100%),21004,"C,HH"
2010,ADVANCED DISPOSAL SEVEN MILE CREEK LANDFILL LLC,1006964,8001 OLSON DR,44.837534,-91.367144,EAU CLAIRE,EAU CLAIRE,WI,54703,Advanced Disposal (100%),47854,"C,HH"
2010,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,1006963,1363 BEAR RD,39.822232,-89.043692,DECATUR,MACON,IL,62522,"Veolia Environnement North America Operations, Inc. (100%)",51654,"C,HH"
2010,ADVANCED DISPOSAL ZION LANDFILL,1005985,701 GREEN BAY ROAD,42.483242,-87.873878,ZION,LAKE,IL,60099,"Veolia Environnement North America Operations, Inc. (100%)",74119,"C,HH"
2010,ADVANSIX INC - CHESTERFIELD PLANT,1000627,4101 BERMUDA HUNDRED RD,37.33963,-77.2884,CHESTER,CHESTERFIELD COUNTY,VA,23836,Honeywell International (100%),44297,C (Abbr)
2010,ADVANSIX INCORPORATED - HOPEWELL,1000630,905 EAST RANDOLPH ROAD,37.3016,-77.2719,HOPEWELL,HOPEWELL CITY,VA,23860,"Honeywell International, Inc. (100%)",1071582,"C,G,PP"
2010,AES - PUERTO RICO COGENERATION PLANT,1005310,"KM 142, RTE. #3 BO. JOBOS",17.9451,-66.1503,GUAYAMA,GUAYAMA,PR,785,AES Corporation (100%),3284053,C
2010,AES Alamitos,1001444,690 N STUDEBAKER ROAD,33.7688,-118.1009,LONG BEACH,Los Angeles,CA,90803,AES Corporation (100%),540113,D
2010,AES Beaver Valley LLC,1001222,394 FRANKFORT RD,40.6558,-80.3556,MONACA,Beaver,PA,15061,The AES Corporation (100%),1201390,D
2010,"AES Deepwater, Inc.",1000281,701 LIGHT COMPANY ROAD,29.7192,-95.2278,PASADENA,Harris,TX,77506,AES Corporation (100%),610811,D
2010,AES HAWAII INC,1005972,91-086 KAOMI LP,21.301222,-158.107306,KAPOLEI,HONOLULU COUNTY,HI,96707,AES Corporation (100%),1525933,C (Abbr)
2010,AES Huntington Beach,1001447,21730 NEWLAND ST,33.6436,-117.9788,HUNTINGTON BEACH,Orange,CA,92646,AES Corporation (100%),572232,D
2010,AES Redondo Beach,1001450,1100 N HARBOR DRIVE,33.8504,-118.395,REDONDO BEACH,Los Angeles,CA,90277,AES Corporation (100%),93266,"C,D"
2010,"AES SHADY POINT, LLC",1007781,3 MILES E. OF JUNCTION 31,35.1929,-94.6469,PANAMA,LE FLORE,OK,74951,AES Corporation (100%),3466524,"C,PP"
2010,AES Thames,1001221,141 DEPOT ROAD,41.4282,-72.1005,UNCASVILLE,New London,CT,6382,AES Corporation (100%),1456435,C
2010,AES Warrior Run,1001223,11600 MEXICO FARMS RD SE,39.5944,-78.7456,CUMBERLAND,Allegany,MD,21502,AES Corporation (100%),1426542,"C,D,PP"
2010,AFTON CHEMICAL CORP,1003853,501 MONSANTO AVE.,38.6026,-90.16734,SAUGET,SAINT CLAIR,IL,62201,NewMarket Corporation (100%),43236,C
2010,AG Energy,1007551,21 Entrance Avenue,44.7258,-75.4417,Ogdensburg,ST. LAWRENCE COUNTY,NY,13669,"AG Energy, LP (100%)",9712,"C,D"
2010,AG PROCESSING INC-EAGLE GROVE,1006054,500 NORTH COMMERCIAL AVENUE,42.669167,-93.904444,EAGLE GROVE,WRIGHT COUNTY,IA,50533,Ag Processing Inc (100%),167119,C (Abbr)
2010,AG PROCESSING INCORPORATED A COOPERATIVE,1002291,800 DIAGONAL STREET,44.93505,-96.05722,DAWSON,LAC QUI PARLE COUNTY,MN,56232,Ag Processing Inc (100%),25711,C (Abbr)
2010,AGC FLAT GLASS N AMERICA INC,1007333,201 DUNCANNON LANE,37.70034,-84.26929,RICHMOND,MADISON COUNTY,KY,40475,AGC Glass Company North America (100%),29466,N
2010,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,1004631,20400 NORTH WEBSTER STREET,38.759188,-94.825252,SPRING HILL,JOHNSON,KS,66083,"AGC Flat Glass North America, Inc. (100%)",100283,"C,N"
2010,AGC FLATGLASS NORTH AMERICA-KINGSPORT PLANT,1004472,1450 LINCOLN ST,36.52899,-82.547651,KINGSPORT,SULLIVAN,TN,37662,AGC (100%),45429,"C,N"
2010,AGC-GREENLAND FLATGLASS PLANT,1005824,600 AFG ROAD,36.497,-82.77946,CHURCH HILL,HAWKINS COUNTY,TN,37642,Asahi Glass Company (100%),94350,"C,N"
2010,AGP SOY/CORN PROCESSING,1002067,2801 E 7TH ST,40.58971,-98.33974,HASTINGS,ADAMS COUNTY,NE,68901,Ag Processing Inc (100%),274499,C (Abbr)
2010,AGRI ENERGY LLC,1005284,502 SOUTH WALNUT AVENUE,43.648333,-96.224444,LUVERNE,ROCK COUNTY,MN,56156,Gevo (100%),39679,C
2010,AGRIFOS FERTILIZER PASADENA,1006743,2001 JACKSON ROAD,29.736528,-95.198139,PASADENA,HARRIS COUNTY,TX,77506,Agrifos Fertilizer L.L.C. (100%),49375,"C,Z"
2010,AGRIUM US BORGER NITROGEN OPERATIONS,1002380,9201 FM 1551,35.6417,-101.4228,BORGER,HUTCHINSON COUNTY,TX,79007,Agrium U.S. Inc (100%),841955,"C,G,PP"
2010,AGRIUM US INC,1001154,3010 CONDA ROAD,42.739417,-111.541421,SODA SPRINGS,CARIBOU,ID,83276,"Agrium U.S., Inc (100%)",104574,"C,Z"
2010,AGRIUM US INC - KFO,1004236,227515 E BOWLES ROAD,46.165957,-119.017218,KENNEWICK,BENTON,WA,99337,Agrium US Inc (100%),78414,"C,U,V"
2010,AGY LLC,1004374,2556 WAGENER RD.,33.5472,-81.67341,AIKEN,AIKEN COUNTY,SC,29801,AGY HOLDING CORP (100%),12833,"C,N"
2010,"AIR LIQUID LARGE INDUSTRIES US, LP",1006430,324 W EL SEGUNDO BLVD,33.916355,-118.418634,EL SEGUNDO,LOS ANGELES,CA,90245,Air Liquide Large Industries US LP (100%),633987,P
2010,AIR LIQUIDE - CORPUS CHRISTI SMR,1003724,5880 UP RIVER ROAD,27.813911,-97.472347,CORPUS CHRISTI,NUECES,TX,78407,Air Liquide Large Industries US LP (100%),398986,P
2010,AIR LIQUIDE - FREEPORT HYCO PLANT,1003730,2398 VICTORIA ROAD,28.98037,-95.38396,FREEPORT,BRAZORIA COUNTY,TX,77541,"American Air Liquide Holdings, Inc. (100%)",66893,"C,P"
2010,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,1003780,2121 PARK STREET,29.981116,-93.952389,PORT NECHES,JEFFERSON COUNTY,TX,77651,Air Liquide Large Industries U.S. LP (100%),191411,C
2010,AIR LIQUIDE AMERICA CORP,1003910,2292 Callahan Rd,32.4478,-94.6875,LONGVIEW,HARRISON COUNTY,TX,75602,Air Liquide Large Industries US LP (100%),372637,P
2010,AIR LIQUIDE AMERICA CORP.,1006115,36597 HWY 30,30.21023,-90.99085,GEISMAR,ASCENSION PARISH,LA,70734,Air Liquide America LP (100%),422530,C
2010,AIR LIQUIDE GEISMAR UTILITY SERVICES,1003591,36183 HWY 30,30.21023,-90.99085,GEISMAR,ASCENSION PARISH,LA,70734,"American Air Liquide Holdings, Inc. (100%)",73774,C
2010,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,1003748,1391 SAN PABLO AVE,38.047952,-122.256895,RODEO,CONTRA COSTA COUNTY,CA,94572,Air Liquide Large Industries US LP (100%),598413,P
2010,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,1003013,102 TROUSDALE RD,30.237363,-93.285908,WESTLAKE,CALCASIEU PARISH,LA,70669,"Air Products and Chemicals, Inc.  (100%)",723018,P
2010,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,1002754,10759 CONVENT WAY,30.10817,-90.88404,CONVENT,ST. JAMES PARISH,LA,70723,"Air Products and Chemicals, Inc (100%)",698955,P
2010,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,1002698,8013 HWY 3251,30.183808,-90.9876,GEISMAR,ASCENSION PARISH,LA,70734,"Air Products and Chemicals, Inc. (100%)",59183,"P,PP"
2010,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,1003009,14700 INTRACOASTAL DRIVE,30.029033,-89.900517,NEW ORLEANS,ORLEANS PARISH,LA,70129,Air Products and Chemicals Inc. (100%),313434,"C,P,PP"
2010,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,1002121,110 WATERFRONT RD,38.026667,-122.067222,MARTINEZ,CONTRA COSTA,CA,94553,"Air Products and Chemicals, Inc (100%)",810408,P
2010,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",1002122,,38.026667,-122.067222,MARTINEZ,CONTRA COSTA,CA,94553,"Air Products and Chemicals, Inc. (100%)",250408,P
2010,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,1005809,11631 US Route 23,38.384444,-82.598528,CATLETTSBURG,BOYD,KY,41129,"Air Products and Chemicals, Inc. (100%)",256244,P
2010,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,1002727,4663 W AIRLINE HWY,30.075832,-90.624885,GARYVILLE,ST JOHN THE BAPTIST,LA,70051,"Air Products & Chemicals, Inc. (100%)",859226,P
2010,AIR PRODUCTS AND CHEMICALS INCORPORATED,1002123,5025 83RD STREET,38.529722,-121.398889,SACRAMENTO,SACRAMENTO,CA,95826,Air Products and Chemicals Inc. (100%),47124,P
2010,AIR PRODUCTS BAYTOWN PLANT,1002430,5503 WEST BAKER ROAD,29.757778,-95.023056,BAYTOWN,HARRIS COUNTY,TX,77520,"Air Products and Chemicals, Inc. (100%)",521750,"C,P"
2010,AIR PRODUCTS CARSON HYDROGEN PLANT,1002257,23300 SOUTH ALAMEDA STREET,33.812778,-118.231389,CARSON,LOS ANGELES COUNTY,CA,90810,"Air Products and Chemicals, Inc. (100%)",620798,P
2010,AIR PRODUCTS CHEMICALS INC,1003010,36637 HWY 30,30.20578,-90.99383,GEISMAR,ASCENSION,LA,70734,"Air Products and Chemicals, Inc. (100%)",32028,P
2010,AIR PRODUCTS MANUFACTURING CORP STOCKTON COGEN,1000341,1010 ZEPHYR ST.,37.913056,-121.261944,STOCKTON,SAN JOAQUIN COUNTY,CA,95206,Air Products and Chemicals Inc. (100%),428959,C
2010,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,1002435,700 HENRY FORD AVENUE,33.780833,-118.241111,WILMINGTON,LOS ANGELES COUNTY,CA,90744,"Air Products and Chemicals, Inc. (100%)",677727,P
2010,"AJINOMOTO HEARTLAND, INC.",1001919,1116 Highway 137,41.143573,-92.647934,EDDYVILLE,WAPELLO,IA,52553,"Ajinomoto U.S.A., Inc. (100%)",111819,C
2010,AK STEEL,1003418,1724 LINDEN AVENUE,39.96136,-82.00034,ZANESVILLE,MUSKINGUM COUNTY,OH,43701,AK Steel Corporation (100%),37257,C (Abbr)
2010,AK STEEL CORP *,1003417,17400 STATE ROUTE 16,40.20669,-81.88549,COSHOCTON,COSHOCTON COUNTY,OH,43812,AK Steel Corporation (100%),49328,C (Abbr)
2010,AK STEEL CORP ASHLAND WORKS COKE PLANT,1005614,US HIGHWAY 23 NORTH,38.495556,-82.665556,ASHLAND,BOYD,KY,41101,AK Steel Corporation (100%),212764,"C,Q"
2010,AK STEEL CORP MANSFIELD WORKS,1006530,913 BOWMAN STREET,40.78449,-82.52327,MANSFIELD,RICHLAND COUNTY,OH,44903,AK Steel Corporation (100%),75953,"C,Q"
2010,AK STEEL CORP/BUTLER WORKS,1002903,1 ARMCO DR,40.82926,-79.94273,BUTLER,BUTLER,PA,16003,AK Steel Corporation (100%),299084,"C,Q"
2010,AK STEEL CORPORATION,1000214,6500 N US HIGHWAY 231,37.9849,-87.0259,ROCKPORT,SPENCER,IN,47635,AK Steel Corporation (100%),149961,C
2010,AK STEEL DEARBORN WORKS,1003403,4001 MILLER RD,42.301742,-83.162934,DEARBORN,WAYNE,MI,48120,"Severstal North America, Inc. (100%)",1533877,"C,Q"
2010,AK Steel Corporation - Middletown,1000274,1801 CRAWFORD STREET,39.4968,-84.3901,MIDDLETOWN,Butler,OH,45043,AK Steel Corporation (100%),4493621,"C,Q"
2010,AK Steel Corporation West Works,1005615,170 Armco Road,38.496367,-82.670282,Ashland,BOYD COUNTY,KY,41101,AK Steel Corporation (100%),2405345,"C,Q"
2010,AKER PLANT,1003129,261 FCR 181,31.90806,-96.227219,STREETMAN,FREESTONE,TX,75859,"Enbridge Energy Partners, L.P. (100%)",44497,"C,PP"
2010,AKRON REGIONAL LANDFILL *,1006088,1585 HARDY ROAD,41.151282,-81.559298,AKRON,SUMMIT,OH,44313,"Waste Management, Inc. (100%)",7467,HH
2010,AL CORN CLEAN FUEL,1005149,797 5th Street,44.049412,-93.017379,CLAREMONT,DODGE,MN,55924,Al-Corn Clean Fuel (100%),77311,"C,PP"
2010,AL Sandersville,1000129,1600 MILLS LINDSEY SCHOOL ROAD,33.1189,-82.8608,WARTHEN,Washington,GA,31094,"AL Sandersville, LLC (100%)",32748,D
2010,AL TURI LANDFILL & LFGTE FACILITY,1004823,73 HARTLEY ROAD,41.40646,-74.37313,GOSHEN,ORANGE COUNTY,NY,10924,"Al Turi Landfill, Inc. (100%)",9216,"C,HH"
2010,"ALABAMA RIVER CELLULOSE, LLC",1007917,2373 LENA LANDEGGER HWY,31.580112,-87.490073,PERDUE HILL,MONROE,AL,36470,"Koch Industries, Inc. (100%)",167258,"AA,C"
2010,ALADDIN MILLS - ANTIOCH RD PLA NT,1007272,2001 ANTIOCH ROAD,34.73559,-84.94996,DALTON,WHITFIELD COUNTY,GA,30720,Aladdin Mills Inc (100%),50319,C
2010,ALBANY LANDFILL,1006276,525 RAPP RD,42.70324,-73.84958,ALBANY,ALBANY COUNTY,NY,12205,City of Albany (100%),84270,HH
2010,ALBEMARLE CORPORATION HOUSTON PLANT,1003402,2500 N. SOUTH ST.,29.742498,-95.165513,PASADENA,HARRIS COUNTY,TX,77503,Albemarle Corporation (100%),85377,C (Abbr)
2010,ALBEMARLE CORPORATION-SOUTH PLANT,1004307,2270 HWY 79 SOUTH OF MAGNOLIA,33.1756,-93.2169,MAGNOLIA,COLUMBIA,AR,71753,Albemarle Corporation (100%),83601,C (Abbr)
2010,ALCOA INC - WARRICK OPERATIONS,1001877,,37.915,-87.3328,NEWBURGH,WARRICK,IN,47629,Alcoa INC (100%),6766676,"C,D,F"
2010,ALCOA INTALCO WORKS,1003562,4050 MOUNTAIN VIEW RD.,48.8455,-122.7055,FERNDALE,WHATCOM,WA,98248,Alcoa Inc. (100%),1053103,"C,F"
2010,ALCOA WENATCHEE LLC,1000635,6200 MALAGA HIGHWAY,47.3567,-120.1273,MALAGA,CHELAN,WA,98828,Alcoa Inc. (100%),210711,"C,F"
2010,ALCOA WORLD ALUMINA ATLANTIC,1003201,,28.3909,-96.3332,POINT COMFORT,CALHOUN COUNTY,TX,77978,Alcoa Inc. (60%); Alumina Ltd (40%),758499,C
2010,ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,1003147,240 Long Powers Road,35.73834,-84.05978,Friendsville,BLOUNT COUNTY,TN,37737,Blount County  (40%); City of Alcoa (30%); City of Maryville (30%),79532,HH
2010,ALCON LABORATORIES,1003448,6201 SOUTH FREEWAY,32.65733,-97.32096,FORT WORTH,TARRANT COUNTY,TX,76134,,29439,C
2010,ALERIS ROLLED PRODUCTS INC,1006045,1372 STATE ROAD 1957,37.936717,-86.858843,LEWISPORT,HANCOCK COUNTY,KY,42351,Aleris International Inc. (100%),174659,C
2010,ALL PURPOSE LANDFILL,1004335,5401 Lafayette Street,37.4135,-121.9724,SANTA CLARA,SANTA CLARA,CA,95050,City of Santa Clara (100%),55629,HH
2010,ALLEGANY BALLISTICS LABORATORY,1005862,210 STATE ROUTE 956,39.3972662,-78.9966888,KEYSER,Mineral,WV,26726,Alliant Techsystems Operations LLC (100%),27717,C
